Source,DF,Sum of Squares,Mean Square,F Value,Pr > F
Model,12,11225.72921,935.47743,15.88,<.0001
Error,64,3771.07119,58.92299,,
Corrected Total,76,14996.8004,,,
,,,,,
R-Square,Coeff Var,Root MSE,Rating Mean,,
0.748542,17.99134,7.676131,42.6657,,
,,,,,
Source,DF,Type I SS,Mean Square,F Value,Pr > F
Manuf_bin,2,5319.720444,2659.860222,45.14,<.0001
Protei*Fat_bi*Vitami,9,5705.021324,633.891258,10.76,<.0001
Shelf_bin,1,200.987441,200.987441,3.41,0.0694
,,,,,
Source,DF,Type III SS,Mean Square,F Value,Pr > F
Manuf_bin,2,683.780073,341.890036,5.8,0.0048
Protei*Fat_bi*Vitami,9,3783.388901,420.376545,7.13,<.0001
Shelf_bin,1,200.987441,200.987441,3.41,0.0694
,,,,,
Parameter,Estimate,,Standard,t Value,Pr > |t|
,,,Error,,
Intercept,62.32428553,B,4.46194819,13.97,<.0001
Manuf_bin a. G,-16.35466048,B,4.98512503,-3.28,0.0017
Manuf_bin b. R/P/Q/K,-14.69677773,B,4.42079706,-3.32,0.0015
Manuf_bin c. A/N,0,B,.,.,.
Protei*Fat_bi*Vitami a. 1 a. NO a. NO,13.12860421,B,8.2267729,1.6,0.1155
Protei*Fat_bi*Vitami a. 1 a. NO b. YES,-11.98813441,B,4.83863082,-2.48,0.0159
Protei*Fat_bi*Vitami a. 1 b. YES b. YES,-18.93722555,B,4.72718967,-4.01,0.0002
Protei*Fat_bi*Vitami b. 2/3 a. NO a. NO,10.14456293,B,5.03094373,2.02,0.048
Protei*Fat_bi*Vitami b. 2/3 a. NO b. YES,-0.3937828,B,3.46626795,-0.11,0.9099
Protei*Fat_bi*Vitami b. 2/3 b. YES a. NO,-13.64382879,B,8.2267729,-1.66,0.1021
Protei*Fat_bi*Vitami b. 2/3 b. YES b. YES,-7.86095054,B,3.33042159,-2.36,0.0213
Protei*Fat_bi*Vitami c. 4/5/6 a. NO b. YES,25.79061021,B,6.18209501,4.17,<.0001
Protei*Fat_bi*Vitami c. 4/5/6 b. YES a. NO,3.20088421,B,8.2267729,0.39,0.6985
Protei*Fat_bi*Vitami c. 4/5/6 b. YES b. YES,0,B,.,.,.
Shelf_bin a. 2,-4.59738253,B,2.48925025,-1.85,0.0694
Shelf_bin b. 1/3,0,B,.,.,.
